Timestamp	Close	Volume_BTC	replies_replies_sum	replies_replies_mean	replies_likes_sum	replies_likes_mean	replies_retweets_sum	replies_retweets_mean	replies_Polarity_sum	replies_Polarity_mean	replies_Subjectivity_sum	replies_Subjectivity_mean	replies_Compound_sum	replies_Compound_mean	replies_Positive_sum	replies_Positive_mean	replies_Neutral_sum	replies_Neutral_mean	replies_Negative_sum	replies_Negative_mean	likes_replies_sum	likes_replies_mean	likes_likes_sum	likes_likes_mean	likes_retweets_sum	likes_retweets_mean	likes_Polarity_sum	likes_Polarity_mean	likes_Subjectivity_sum	likes_Subjectivity_mean	likes_Compound_sum	likes_Compound_mean	likes_Positive_sum	likes_Positive_mean	likes_Neutral_sum	likes_Neutral_mean	likes_Negative_sum	likes_Negative_mean	retweets_replies_sum	retweets_replies_mean	retweets_likes_sum	retweets_likes_mean	retweets_retweets_sum	retweets_retweets_mean	retweets_Polarity_sum	retweets_Polarity_mean	retweets_Subjectivity_sum	retweets_Subjectivity_mean	retweets_Compound_sum	retweets_Compound_mean	retweets_Positive_sum	retweets_Positive_mean	retweets_Neutral_sum	retweets_Neutral_mean	retweets_Negative_sum	retweets_Negative_mean	Polarity_replies_mean	Polarity_replies_replies_mean	Polarity_replies_likes_mean	Polarity_replies_retweets_mean	Polarity_likes_mean	Polarity_likes_replies_mean	Polarity_likes_likes_mean	Polarity_likes_retweets_mean	Polarity_retweets_mean	Polarity_retweets_replies_mean	Polarity_retweets_likes_mean	Polarity_retweets_retweets_mean	Polarity_Polarity_mean	Polarity_Polarity_replies_mean	Polarity_Polarity_likes_mean	Polarity_Polarity_retweets_mean	Polarity_Subjectivity_mean	Polarity_Subjectivity_replies_mean	Polarity_Subjectivity_likes_mean	Polarity_Subjectivity_retweets_mean	Polarity_Compound_mean	Polarity_Compound_replies_mean	Polarity_Compound_likes_mean	Polarity_Compound_retweets_mean	Polarity_Positive_mean	Polarity_Positive_replies_mean	Polarity_Positive_likes_mean	Polarity_Positive_retweets_mean	Polarity_Neutral_mean	Polarity_Neutral_replies_mean	Polarity_Neutral_likes_mean	Polarity_Neutral_retweets_mean	Polarity_Negative_mean	Polarity_Negative_replies_mean	Polarity_Negative_likes_mean	Polarity_Negative_retweets_mean	Subjectivity_replies_mean	Subjectivity_replies_replies_mean	Subjectivity_replies_likes_mean	Subjectivity_replies_retweets_mean	Subjectivity_likes_mean	Subjectivity_likes_replies_mean	Subjectivity_likes_likes_mean	Subjectivity_likes_retweets_mean	Subjectivity_retweets_mean	Subjectivity_retweets_replies_mean	Subjectivity_retweets_likes_mean	Subjectivity_retweets_retweets_mean	Subjectivity_Polarity_mean	Subjectivity_Polarity_replies_mean	Subjectivity_Polarity_likes_mean	Subjectivity_Polarity_retweets_mean	Subjectivity_Subjectivity_mean	Subjectivity_Subjectivity_replies_mean	Subjectivity_Subjectivity_likes_mean	Subjectivity_Subjectivity_retweets_mean	Subjectivity_Compound_mean	Subjectivity_Compound_replies_mean	Subjectivity_Compound_likes_mean	Subjectivity_Compound_retweets_mean	Subjectivity_Positive_mean	Subjectivity_Positive_replies_mean	Subjectivity_Positive_likes_mean	Subjectivity_Positive_retweets_mean	Subjectivity_Neutral_mean	Subjectivity_Neutral_replies_mean	Subjectivity_Neutral_likes_mean	Subjectivity_Neutral_retweets_mean	Subjectivity_Negative_mean	Subjectivity_Negative_replies_mean	Subjectivity_Negative_likes_mean	Subjectivity_Negative_retweets_mean	Compound_replies_mean	Compound_replies_replies_mean	Compound_replies_likes_mean	Compound_replies_retweets_mean	Compound_likes_mean	Compound_likes_replies_mean	Compound_likes_likes_mean	Compound_likes_retweets_mean	Compound_retweets_mean	Compound_retweets_replies_mean	Compound_retweets_likes_mean	Compound_retweets_retweets_mean	Compound_Polarity_mean	Compound_Polarity_replies_mean	Compound_Polarity_likes_mean	Compound_Polarity_retweets_mean	Compound_Subjectivity_mean	Compound_Subjectivity_replies_mean	Compound_Subjectivity_likes_mean	Compound_Subjectivity_retweets_mean	Compound_Compound_mean	Compound_Compound_replies_mean	Compound_Compound_likes_mean	Compound_Compound_retweets_mean	Compound_Positive_mean	Compound_Positive_replies_mean	Compound_Positive_likes_mean	Compound_Positive_retweets_mean	Compound_Neutral_mean	Compound_Neutral_replies_mean	Compound_Neutral_likes_mean	Compound_Neutral_retweets_mean	Compound_Negative_mean	Compound_Negative_replies_mean	Compound_Negative_likes_mean	Compound_Negative_retweets_mean	Positive_replies_mean	Positive_replies_replies_mean	Positive_replies_likes_mean	Positive_replies_retweets_mean	Positive_likes_mean	Positive_likes_replies_mean	Positive_likes_likes_mean	Positive_likes_retweets_mean	Positive_retweets_mean	Positive_retweets_replies_mean	Positive_retweets_likes_mean	Positive_retweets_retweets_mean	Positive_Polarity_mean	Positive_Polarity_replies_mean	Positive_Polarity_likes_mean	Positive_Polarity_retweets_mean	Positive_Subjectivity_mean	Positive_Subjectivity_replies_mean	Positive_Subjectivity_likes_mean	Positive_Subjectivity_retweets_mean	Positive_Compound_mean	Positive_Compound_replies_mean	Positive_Compound_likes_mean	Positive_Compound_retweets_mean	Positive_Positive_mean	Positive_Positive_replies_mean	Positive_Positive_likes_mean	Positive_Positive_retweets_mean	Positive_Neutral_mean	Positive_Neutral_replies_mean	Positive_Neutral_likes_mean	Positive_Neutral_retweets_mean	Positive_Negative_mean	Positive_Negative_replies_mean	Positive_Negative_likes_mean	Positive_Negative_retweets_mean	Neutral_replies_mean	Neutral_replies_replies_mean	Neutral_replies_likes_mean	Neutral_replies_retweets_mean	Neutral_likes_mean	Neutral_likes_replies_mean	Neutral_likes_likes_mean	Neutral_likes_retweets_mean	Neutral_retweets_mean	Neutral_retweets_replies_mean	Neutral_retweets_likes_mean	Neutral_retweets_retweets_mean	Neutral_Polarity_mean	Neutral_Polarity_replies_mean	Neutral_Polarity_likes_mean	Neutral_Polarity_retweets_mean	Neutral_Subjectivity_mean	Neutral_Subjectivity_replies_mean	Neutral_Subjectivity_likes_mean	Neutral_Subjectivity_retweets_mean	Neutral_Compound_mean	Neutral_Compound_replies_mean	Neutral_Compound_likes_mean	Neutral_Compound_retweets_mean	Neutral_Positive_mean	Neutral_Positive_replies_mean	Neutral_Positive_likes_mean	Neutral_Positive_retweets_mean	Neutral_Neutral_mean	Neutral_Neutral_replies_mean	Neutral_Neutral_likes_mean	Neutral_Neutral_retweets_mean	Neutral_Negative_mean	Neutral_Negative_replies_mean	Neutral_Negative_likes_mean	Neutral_Negative_retweets_mean	Negative_replies_mean	Negative_replies_replies_mean	Negative_replies_likes_mean	Negative_replies_retweets_mean	Negative_likes_mean	Negative_likes_replies_mean	Negative_likes_likes_mean	Negative_likes_retweets_mean	Negative_retweets_mean	Negative_retweets_replies_mean	Negative_retweets_likes_mean	Negative_retweets_retweets_mean	Negative_Polarity_mean	Negative_Polarity_replies_mean	Negative_Polarity_likes_mean	Negative_Polarity_retweets_mean	Negative_Subjectivity_mean	Negative_Subjectivity_replies_mean	Negative_Subjectivity_likes_mean	Negative_Subjectivity_retweets_mean	Negative_Compound_mean	Negative_Compound_replies_mean	Negative_Compound_likes_mean	Negative_Compound_retweets_mean	Negative_Positive_mean	Negative_Positive_replies_mean	Negative_Positive_likes_mean	Negative_Positive_retweets_mean	Negative_Neutral_mean	Negative_Neutral_replies_mean	Negative_Neutral_likes_mean	Negative_Neutral_retweets_mean	Negative_Negative_mean	Negative_Negative_replies_mean	Negative_Negative_likes_mean	Negative_Negative_retweets_mean	no_tweets	no_data
2019-01-01 00:01:00	-7.349999999999909	9.50015102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	False
2019-01-01 00:02:00	-4.0300000000002	0.965966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	False
2019-01-01 00:03:00	5.730000000000018	0.296662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False
2019-01-01 00:04:00	-2.0099999999997635	0.111622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False
2019-01-01 00:05:00	0.5099999999997635	2.2476759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False
2019-01-01 00:06:00	-3.769999999999982	1.556315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False
2019-01-01 00:07:00	-2.3099999999999454	0.82300943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False
2019-01-01 00:08:00	-1.3200000000001637	4.49312139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False
2019-01-01 00:09:00	1.6700000000000728	1.07718735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False
2019-01-01 00:10:00	9.840000000000146	3.58345316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False
